logged_at,timestamp,symbol,strategy,label,direction,entry_price,stop_loss,take_profit,lot_size,risk_percent,atr,signal_score,signal_type,execution_time_ms,slippage_pips,spread_at_entry,status,exit_time,exit_price,profit,holding_period_minutes
2026-06-02T14:35:43.368667+00:00,2026-06-02T14:35:43.368667+00:00,XAUUSD,bollinger,bollinger:XAUUSD:1,BUY,2000.0,1990.0,2020.0,0.1,1.0,5.0,8,BOLLINGER_BREAKOUT,150,2,0.5,OPEN,,0,0,0
2026-06-02T14:35:43.370737+00:00,2026-06-02T14:35:43.368667+00:00,XAUUSD,bollinger,bollinger:XAUUSD:1,BUY,2000.0,1990.0,2020.0,0.1,1.0,5.0,8,BOLLINGER_BREAKOUT,150,2,0.5,CLOSED,2026-06-02T14:35:43.370737+00:00,2015.0,150.0,120
2026-06-02T19:32:38.316811+00:00,2026-06-02T19:32:38.316811+00:00,BTCUSD,"bollinger_{'period': 20, 'std_dev': 2.0, 'stop_atr_mult': 0.6, 'tp_atr_mult': 1.5}","bollinger_{'period': 20, 'std_dev': 2.0, 'stop_atr_mult': 0.6, 'tp_atr_mult': 1.5}:BTCUSD:1",BUY,66683.5,66659.61460490599,67916.4357142857,0.01,1.0,0,0,,0,0,2500,FAILED,,0,0,0
2026-06-02T19:32:39.318747+00:00,2026-06-02T19:32:39.318747+00:00,BTCUSD,"bollinger_{'period': 20, 'std_dev': 2.0, 'stop_atr_mult': 0.6, 'tp_atr_mult': 1.5}","bollinger_{'period': 20, 'std_dev': 2.0, 'stop_atr_mult': 0.6, 'tp_atr_mult': 1.5}:BTCUSD:1",BUY,66677.0,66659.61460490599,67916.4357142857,0.01,1.0,0,0,,0,0,2500,FAILED,,0,0,0
2026-06-02T19:32:40.321347+00:00,2026-06-02T19:32:40.321347+00:00,BTCUSD,"bollinger_{'period': 20, 'std_dev': 2.0, 'stop_atr_mult': 0.6, 'tp_atr_mult': 1.5}","bollinger_{'period': 20, 'std_dev': 2.0, 'stop_atr_mult': 0.6, 'tp_atr_mult': 1.5}:BTCUSD:1",BUY,66672.0,66659.61460490599,67916.4357142857,0.01,1.0,0,0,,0,0,2500,FAILED,,0,0,0
2026-06-02T19:32:41.330865+00:00,2026-06-02T19:32:41.330865+00:00,XAUUSD,"volatility_{'volatility_window': 10, 'volatility_threshold': 1.0, 'stop_atr_mult': 0.4, 'tp_atr_mult': 1.2}","volatility_{'volatility_window': 10, 'volatility_threshold': 1.0, 'stop_atr_mult': 0.4, 'tp_atr_mult': 1.2}:XAUUSD:1",BUY,4488.66,4487.155714285715,4496.692857142857,0.01,1.0,0,0,,0,0,19,FAILED,,0,0,0
2026-06-02T19:32:42.333455+00:00,2026-06-02T19:32:42.333455+00:00,XAUUSD,"volatility_{'volatility_window': 10, 'volatility_threshold': 1.0, 'stop_atr_mult': 0.4, 'tp_atr_mult': 1.2}","volatility_{'volatility_window': 10, 'volatility_threshold': 1.0, 'stop_atr_mult': 0.4, 'tp_atr_mult': 1.2}:XAUUSD:1",BUY,4488.64,4487.155714285715,4496.692857142857,0.01,1.0,0,0,,0,0,19,FAILED,,0,0,0
2026-06-02T19:32:43.336211+00:00,2026-06-02T19:32:43.336211+00:00,XAUUSD,"volatility_{'volatility_window': 10, 'volatility_threshold': 1.0, 'stop_atr_mult': 0.4, 'tp_atr_mult': 1.2}","volatility_{'volatility_window': 10, 'volatility_threshold': 1.0, 'stop_atr_mult': 0.4, 'tp_atr_mult': 1.2}:XAUUSD:1",BUY,4488.6,4487.155714285715,4496.692857142857,0.01,1.0,0,0,,0,0,18,FAILED,,0,0,0
2026-06-02T19:43:54.410187+00:00,2026-06-02T19:43:54.410187+00:00,BTCUSD,"bollinger_{'period': 20, 'std_dev': 2.0, 'stop_atr_mult': 0.6, 'tp_atr_mult': 1.5}","bollinger_{'period': 20, 'std_dev': 2.0, 'stop_atr_mult': 0.6, 'tp_atr_mult': 1.5}:BTCUSD:1",BUY,66830.0,66659.61460490599,67916.4357142857,0.01,1.0,0,0,,0,0,2500,OPEN,,0,0,0
2026-06-02T20:43:03.549948+00:00,2026-06-02T20:43:03.549948+00:00,BTCUSD,"bollinger_{'period': 15, 'std_dev': 1.5, 'stop_atr_mult': 0.5, 'tp_atr_mult': 1.3}","bollinger_{'period': 15, 'std_dev': 1.5, 'stop_atr_mult': 0.5, 'tp_atr_mult': 1.3}:BTCUSD:1",BUY,67165.0,66690.77432299107,67679.45714285714,0.02,1.0,0,0,,0,0,2500,OPEN,,0,0,0
