run,final_balance,max_drawdown_pct,trades_total,per_instrument_trades
1,1009164.6831324906,10.847698034574057,2281,"{'NAS100': 967, 'EURUSD': 263, 'XAUUSD': 1051}"
2,580513.1980100881,21.175980515489922,2224,"{'NAS100': 936, 'EURUSD': 257, 'XAUUSD': 1031}"
3,583581.5795718584,26.223091744752647,2147,"{'NAS100': 1000, 'EURUSD': 118, 'XAUUSD': 1029}"
4,1709860.2138201823,7.812122329889523,2339,"{'NAS100': 1027, 'EURUSD': 259, 'XAUUSD': 1053}"
5,733500.8901717858,28.468891805932017,1461,"{'NAS100': 152, 'EURUSD': 257, 'XAUUSD': 1052}"
6,960785.885022379,13.471405501334106,2302,"{'NAS100': 1000, 'EURUSD': 260, 'XAUUSD': 1042}"
7,897597.5304006562,16.0533009392074,2252,"{'NAS100': 931, 'EURUSD': 263, 'XAUUSD': 1058}"
8,1084269.0755002163,10.335699074326364,2264,"{'NAS100': 952, 'EURUSD': 259, 'XAUUSD': 1053}"
9,1106772.6262626806,8.54314990987579,2295,"{'NAS100': 978, 'EURUSD': 264, 'XAUUSD': 1053}"
10,1012205.1052996919,12.1306320568645,2227,"{'NAS100': 916, 'EURUSD': 263, 'XAUUSD': 1048}"
11,1320145.8854129375,12.035155504157073,2298,"{'NAS100': 967, 'EURUSD': 260, 'XAUUSD': 1071}"
12,1368528.503308135,12.555458644620343,2269,"{'NAS100': 937, 'EURUSD': 262, 'XAUUSD': 1070}"
13,1074056.8809336112,20.31301895892801,2329,"{'NAS100': 1000, 'EURUSD': 263, 'XAUUSD': 1066}"
14,1398780.8168303308,15.775208555265575,2316,"{'NAS100': 985, 'EURUSD': 263, 'XAUUSD': 1068}"
15,1067943.7425652368,17.56400903358347,1919,"{'NAS100': 593, 'EURUSD': 263, 'XAUUSD': 1063}"
16,858944.1985721951,20.078611608033313,1432,"{'NAS100': 100, 'EURUSD': 259, 'XAUUSD': 1073}"
17,1218820.737388608,14.52946388019856,2262,"{'NAS100': 935, 'EURUSD': 263, 'XAUUSD': 1064}"
18,1004845.528089915,17.13914823155037,2249,"{'NAS100': 920, 'EURUSD': 263, 'XAUUSD': 1066}"
19,1418948.475166146,14.797586847526365,2268,"{'NAS100': 937, 'EURUSD': 263, 'XAUUSD': 1068}"
20,1432343.0479191537,14.336352347978416,2290,"{'NAS100': 985, 'EURUSD': 261, 'XAUUSD': 1044}"
21,733699.8560270282,13.615421522258083,2241,"{'NAS100': 935, 'EURUSD': 259, 'XAUUSD': 1047}"
22,1450513.777851855,12.251635844334622,2269,"{'NAS100': 945, 'EURUSD': 260, 'XAUUSD': 1064}"
23,1228040.5807015756,14.584563441301249,2175,"{'NAS100': 925, 'EURUSD': 186, 'XAUUSD': 1064}"
24,949191.9127992892,13.567993959306065,1860,"{'NAS100': 549, 'EURUSD': 263, 'XAUUSD': 1048}"
25,1955590.7294688746,10.870046688946152,2342,"{'NAS100': 1023, 'EURUSD': 260, 'XAUUSD': 1059}"
26,1330498.3976769475,8.049539850553467,2008,"{'NAS100': 1028, 'EURUSD': 226, 'XAUUSD': 754}"
27,1531151.088012438,15.34070281524689,2286,"{'NAS100': 971, 'EURUSD': 263, 'XAUUSD': 1052}"
28,351624.34398776956,8.312963809938823,1268,"{'NAS100': 920, 'EURUSD': 259, 'XAUUSD': 89}"
29,860645.3314280086,13.135022129903556,2305,"{'NAS100': 1000, 'EURUSD': 263, 'XAUUSD': 1042}"
30,1426383.5516520324,14.537357823408604,2294,"{'NAS100': 989, 'EURUSD': 261, 'XAUUSD': 1044}"
