run,final_balance,max_drawdown_pct,trades_total,per_instrument_trades,pass_gate
1,1163373.1055871963,12.823628520960783,1575,"{'NAS100': 344, 'EURUSD': 261, 'XAUUSD': 970}",True
2,815258.7550930425,13.291012610976754,1883,"{'NAS100': 959, 'EURUSD': 260, 'XAUUSD': 664}",True
3,1138947.5623832205,14.650396065545515,2307,"{'NAS100': 978, 'EURUSD': 263, 'XAUUSD': 1066}",True
4,468157.11597062275,15.982216685658429,1621,"{'NAS100': 909, 'EURUSD': 150, 'XAUUSD': 562}",True
5,1428162.8574387291,11.530096463554232,2112,"{'NAS100': 778, 'EURUSD': 263, 'XAUUSD': 1071}",True
6,861724.4428909447,11.748632612475028,1944,"{'NAS100': 628, 'EURUSD': 263, 'XAUUSD': 1053}",True
7,1340952.5402557547,20.492710299745134,2297,"{'NAS100': 1000, 'EURUSD': 260, 'XAUUSD': 1037}",True
8,829403.1971397528,15.95878221866744,2313,"{'NAS100': 1000, 'EURUSD': 259, 'XAUUSD': 1054}",True
9,333384.97627546726,17.41351190080324,1249,"{'NAS100': 930, 'EURUSD': 230, 'XAUUSD': 89}",True
10,544818.1418861679,24.30860886136065,2235,"{'NAS100': 929, 'EURUSD': 263, 'XAUUSD': 1043}",True
